Austin Toros
Bakersfield Jam
Canton Charge
Delaware 87ers
Erie BayHawks
Fort Wayne Mad Ants
Idaho Stampede
Iowa Energy
Los Angeles D-Fenders
Maine Red Claws
Reno Bighorns
Rio Grande Valley Vipers
Santa Cruz Warriors
Sioux Falls Skyforce
Springfield Armor
Texas Legends
Tulsa 66ers
