Albuquerque Thunderbirds
Anaheim Arsenal
Austin Toros
Bakersfield Jam
Colorado 14ers
Dakota Wizards
Fort Wayne Mad Ants
Idaho Stampede
Iowa Energy
Los Angeles D-Fenders
Rio Grande Valley Vipers
Sioux Falls Skyforce
Tulsa 66ers
Utah Flash
